cctb_base;1490.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cctb_supp3rd;104.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cctb_redstart;45282.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cctb_redrate_1ch;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cctb_redrate_2chplus;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ncbs_base_1ch;2308.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ncbs_base_2nd;2042.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ncbs_base_3rdplus;1943.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ncbs_redrate_1ch;0.122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ncbs_redrate_2ch;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ncbs_redrate_3chplus;0.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ncbs_redstart;26359.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
uccb_amount;960.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cctb_alb_minus7;1375.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cctb_alb_7to11;1468.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cctb_alb_12to15;1643.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cctb_alb_16and17;1739.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
uccb_6_17;360.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_base_step_1;30000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step1_1ch;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step1_2ch;0.135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step1_3ch;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step1_4ch_plus;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_base_step_2;65000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step2_1ch;0.032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step2_2ch;0.057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step2_3ch;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step2_4ch_plus;0.095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_minus_6;6400.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_6_17;5400.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_disab;2730.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_thresh_step1;35000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_max_1ch;2392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_max_2ndch;1195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_max_3rdch;1195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_max_4thchplus;1793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_monosupp;839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_min_1ch;671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_min_2ndchplus;620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_min_mono;335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_red_single;34656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_red_couple;47665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_redrate;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cap_handicaped;187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chcare_max_minus7;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chcare_max_minus16;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brack;34800;36090;37385;38665;39955;41240;42545;43830;45110;46390;47695;48985;50270;51555;52850;95380;136925;138230;139525;140820;142120;143420;144710;146015;147310;148595;149900;151195;152505;153800;155095;1000000000
rates;0.75;0.74;0.73;0.72;0.71;0.7;0.69;0.68;0.67;0.66;0.65;0.64;0.63;0.62;0.61;0.6;0.57;0.54;0.52;0.5;0.48;0.46;0.44;0.42;0.4;0.38;0.36;0.34;0.32;0.3;0.28;0.26
chcdeduc_max_minus7;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chcdeduc_max_minus16;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chcdeduc_winc_rate;0.6666666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_base_step_1;30000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step1_1ch;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step1_2ch;0.135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step1_3ch;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step1_4ch_plus;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_base_step_2;65000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step2_1ch;0.032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step2_2ch;0.057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step2_3ch;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_rate_step2_4ch_plus;0.095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_minus_6;6400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_6_17;5400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_disab;2730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ccb_thresh_step1;35000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;