variable;value;type;definition;source ;comments
pension_cred_min_age_split;65;int;;;same as for federal
nrtc_base;10582;float;;https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5006-c/5006-c-19e.pdf;
nrtc_age_amount;5166;float;;;
nrtc_age;65;int;;;
nrtc_age_claw_cutoff;38463;float;;https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5006-d/5006-d-19e.pdf;
nrtc_age_claw_rate;0.15;float;;;
nrtc_spouse_cutoff;9883;float;;;
nrtc_spouse_max;8985;float;;;
nrtc_pension_cred_min_age_split;65;int;;;
nrtc_pension_cred_amount;1463;float;;;
nrtc_disabled;8549;float;;;
nrtc_med_exp_age;18;int;;;
nrtc_med_exp_claw;2395;float;;;
nrtc_med_exp_rate;0.03;float;;;
nrtc_med_exp_max_dep;12910;float;;;
nrtc_rate;0.0505;float;;;
nrtc_donation_frac_net;0.75;float;;;
nrtc_donation_cutoff;200;float;;;
nrtc_donation_low_rate;0.0505;float;;;
nrtc_donation_high_rate;0.1116;float;;;
surtax_low_rate;0.20;float;;;
surtax_low_cutoff;4740;float;;;
surtax_high_rate;0.36;float;;;
surtax_high_cutoff;6067;float;;;
div_elig_factor;1.38;float;;;
div_other_can_factor;1.15;float;;;
div_other_can_cred_rate;0.032863;float;;;
div_elig_cred_rate;0.10;float;;;
reduction_base;244;float;;;
reduction_kid;452;float;;;
lift_rate;0.0505;float;;;
lift_max_amount;850;float;;;
lift_claw_rate;0.10;float;;;
lift_cutoff_single;30000;float;;;
lift_cutoff_couple;60000;float;;;
ocb_amount;1434;float;;;
ocb_cutoff;21887;float;;;
ocb_claw_rate;0.08;float;;;
ostc_amount;308;float;;;
ostc_claw_rate;0.04;float;;;
ostc_single_cutoff;23665;float;;;
ostc_couple_dep_cutoff;29581;float;;;
caip_single;224;int;;;
caip_couple;112;int;;;
caip_kid1;112;int;;;
caip_kid12;56;int;;;